0;101;0 111;-83;0 89,8008863756192;-83;-65,2441630044645
111;-83;0 0;-82;0 89,8008863756192;-83;-65,2441630044645
0;101;0 89,8008863756192;-83;-65,2441630044645 34,3008863756192;-83;-105,567273308762
89,8008863756192;-83;-65,2441630044645 0;-82;0 34,3008863756192;-83;-105,567273308762
0;101;0 34,3008863756192;-83;-105,567273308762 -34,3008863756192;-83;-105,567273308762
34,3008863756192;-83;-105,567273308762 0;-82;0 -34,3008863756192;-83;-105,567273308762
0;101;0 -34,3008863756192;-83;-105,567273308762 -89,8008863756191;-83;-65,2441630044645
-34,3008863756192;-83;-105,567273308762 0;-82;0 -89,8008863756191;-83;-65,2441630044645
0;101;0 -89,8008863756191;-83;-65,2441630044645 -111;-83;-7,105427357601E-15
-89,8008863756191;-83;-65,2441630044645 0;-82;0 -111;-83;-7,105427357601E-15
0;101;0 -111;-83;-7,105427357601E-15 -89,8008863756191;-83;65,2441630044645
-111;-83;-7,105427357601E-15 0;-82;0 -89,8008863756191;-83;65,2441630044645
0;101;0 -89,8008863756191;-83;65,2441630044645 -34,3008863756191;-83;105,567273308762
-89,8008863756191;-83;65,2441630044645 0;-82;0 -34,3008863756191;-83;105,567273308762
0;101;0 -34,3008863756191;-83;105,567273308762 34,3008863756191;-83;105,567273308762
-34,3008863756191;-83;105,567273308762 0;-82;0 34,3008863756191;-83;105,567273308762
0;101;0 34,3008863756191;-83;105,567273308762 89,8008863756191;-83;65,2441630044645
34,3008863756191;-83;105,567273308762 0;-82;0 89,8008863756191;-83;65,2441630044645
0;101;0 89,8008863756191;-83;65,2441630044645 111;-83;0
89,8008863756191;-83;65,2441630044645 0;-82;0 111;-83;0
