0;56;0 21;77;0 20,6625213605712;77;-3,74969479077137
21;77;0 21;105;0 20,6625213605712;105;-3,74969479077137 20,6625213605712;77;-3,74969479077137
21;105;0 28;105;0 27,5500284807616;105;-4,99959305436183 20,6625213605712;105;-3,74969479077137
28;105;0 35;105;0 34,437535600952;105;-6,24949131795228 27,5500284807616;105;-4,99959305436183
35;105;0 42;105;0 41,3250427211425;105;-7,49938958154274 34,437535600952;105;-6,24949131795228
42;105;0 42;91;0 41,3250427211425;91;-7,49938958154274 41,3250427211425;105;-7,49938958154274
42;91;0 35;84;0 34,437535600952;84;-6,24949131795228 41,3250427211425;91;-7,49938958154274
35;84;0 28;77;0 27,5500284807616;77;-4,99959305436183 34,437535600952;84;-6,24949131795228
28;77;0 35;63;0 34,437535600952;63;-6,24949131795228 27,5500284807616;77;-4,99959305436183
35;63;0 42;56;0 41,3250427211425;56;-7,49938958154274 34,437535600952;63;-6,24949131795228
42;56;0 56;42;0 55,1000569615233;42;-9,99918610872365 41,3250427211425;56;-7,49938958154274
56;42;0 70;21;0 68,8750712019041;21;-12,4989826359046 55,1000569615233;42;-9,99918610872365
70;21;0 98;-14;0 96,4250996826657;-14;-17,4985756902664 68,8750712019041;21;-12,4989826359046
98;-14;0 98;-42;0 96,4250996826657;-42;-17,4985756902664 96,4250996826657;-14;-17,4985756902664
98;-42;0 98;-70;0 96,4250996826657;-70;-17,4985756902664 96,4250996826657;-42;-17,4985756902664
98;-70;0 91;-91;0 89,5375925624753;-91;-16,2486774266759 96,4250996826657;-70;-17,4985756902664
91;-91;0 49;-98;0 48,2125498413329;-98;-8,7492878451332 89,5375925624753;-91;-16,2486774266759
49;-98;0 21;-98;0 20,6625213605712;-98;-3,74969479077137 48,2125498413329;-98;-8,7492878451332
21;-98;0 0;-98;0 20,6625213605712;-98;-3,74969479077137
0;56;0 20,6625213605712;77;-3,74969479077137 19,6609322834345;77;-7,3788713057082
20,6625213605712;77;-3,74969479077137 20,6625213605712;105;-3,74969479077137 19,6609322834345;105;-7,3788713057082 19,6609322834345;77;-7,3788713057082
20,6625213605712;105;-3,74969479077137 27,5500284807616;105;-4,99959305436183 26,2145763779126;105;-9,8384950742776 19,6609322834345;105;-7,3788713057082
27,5500284807616;105;-4,99959305436183 34,437535600952;105;-6,24949131795228 32,7682204723908;105;-12,298118842847 26,2145763779126;105;-9,8384950742776
34,437535600952;105;-6,24949131795228 41,3250427211425;105;-7,49938958154274 39,321864566869;105;-14,7577426114164 32,7682204723908;105;-12,298118842847
41,3250427211425;105;-7,49938958154274 41,3250427211425;91;-7,49938958154274 39,321864566869;91;-14,7577426114164 39,321864566869;105;-14,7577426114164
41,3250427211425;91;-7,49938958154274 34,437535600952;84;-6,24949131795228 32,7682204723908;84;-12,298118842847 39,321864566869;91;-14,7577426114164
34,437535600952;84;-6,24949131795228 27,5500284807616;77;-4,99959305436183 26,2145763779126;77;-9,8384950742776 32,7682204723908;84;-12,298118842847
27,5500284807616;77;-4,99959305436183 34,437535600952;63;-6,24949131795228 32,7682204723908;63;-12,298118842847 26,2145763779126;77;-9,8384950742776
34,437535600952;63;-6,24949131795228 41,3250427211425;56;-7,49938958154274 39,321864566869;56;-14,7577426114164 32,7682204723908;63;-12,298118842847
41,3250427211425;56;-7,49938958154274 55,1000569615233;42;-9,99918610872365 52,4291527558253;42;-19,6769901485552 39,321864566869;56;-14,7577426114164
55,1000569615233;42;-9,99918610872365 68,8750712019041;21;-12,4989826359046 65,5364409447816;21;-24,596237685694 52,4291527558253;42;-19,6769901485552
68,8750712019041;21;-12,4989826359046 96,4250996826657;-14;-17,4985756902664 91,7510173226943;-14;-34,4347327599716 65,5364409447816;21;-24,596237685694
96,4250996826657;-14;-17,4985756902664 96,4250996826657;-42;-17,4985756902664 91,7510173226943;-42;-34,4347327599716 91,7510173226943;-14;-34,4347327599716
96,4250996826657;-42;-17,4985756902664 96,4250996826657;-70;-17,4985756902664 91,7510173226943;-70;-34,4347327599716 91,7510173226943;-42;-34,4347327599716
96,4250996826657;-70;-17,4985756902664 89,5375925624753;-91;-16,2486774266759 85,1973732282161;-91;-31,9751089914022 91,7510173226943;-70;-34,4347327599716
89,5375925624753;-91;-16,2486774266759 48,2125498413329;-98;-8,7492878451332 45,8755086613471;-98;-17,2173663799858 85,1973732282161;-91;-31,9751089914022
